Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment,word_count
5.0,Good quality product at an affordable price,"Resistance Bands set, Stackable Exercise Bands with Handles, Door Ankle, Ankle Straps and Carrying Bag, Workout Bands for Muscle Building, Physical Therapy, Yoga and Pilates",Exercise & Fitness,Happy,Daraz,Positive,7
5.0,দামটা একটু বেশি তবে জিনিস ভালো সবাই নিতে পারেন,GV Bike & Car Document Holder Bag - Premium PU Leather Pouch Wallet for Essential Papers,Motorcycle Parts & Spares,Happy,Daraz,Positive,9
4.0,onion gula vloi.Bazar theke price o onk kom.Thanks daraz &seller.,Imported Onion 1 kg (± 25 gm)(CTG),"Fruits, Meat & Frozen",Happy,Daraz,Positive,12
3.0,"not that good.the keyboard in playstore Doesn't
working or showing","Voice Remote for Android TV Box, Smart TV, Air mouse G10S",Tv & Video device,Sadness,Daraz,Negative,12
5.0,"Good product, fast delivery. Seller recommended.",Legend Printer Ink (Black) - 100ML,Printers,Happy,Daraz,Positive,6
1.0,"⚠️দাম অনুযায়ী অনেক খারাপ নিম্নমানের 
কাপড় ।২৯৫ টাকা দিয়ে কিনলে লস খাবেন।
তাই কেউ কিনবেন না😑",SMUG. Premium T-shirt Fabric soft and comfortable,Clothing,Anger,Daraz,Negative,16
4.0,দাম অনুযায়ী খারাপ না কিন্তু কিছু দিন পরে রঙ উঠে যাবে।,Silver Color Metal Chain for Men,Men's Jewelry,Sadness,Daraz,Negative,11
5.0,"পালতু একরা প্রোডাক্ট ,,
কোনো কাজ হয় নাই, কেউ নিবেন না, নকল পণ্য",Beard Growth Solution Oil for Men - 30Ml,Men's Care,Fear,Daraz,Negative,12
5.0,"The seller is very good and the product is also good, thanks for everything.daraz happy 😁 shopping.",USB 3.1 Pendrive -64 GB -Silver - Pen Drive - Pen Drive,Storage,Happy,Daraz,Positive,17
5.0,works fine but not sure of it relieves pain or not,Xinyan Apple Electric Massager - Multicolour,Beauty Tools,Fear,Daraz,Negative,11
3.0,"মোটামুটি ভালো,বাবল গুলো বেশ দুর্বল সামান্য চাপে ফুটে যায়।",Bubble Wrap | Packaging Material | Single Side Bubble 3mm Bubble Size | Width 39 Inch Premium Quality,Stationery & Craft,Sadness,Daraz,Negative,10
5.0,"packaging was very good product avarage...  bt littel argument with delivery boy...
he says that i write wrong address bt the adress was correct..",Minister Bright Wash Synthetic Detergent Powder Lemon & Mint (Free 1 KG),Laundry & Household,Sadness,Daraz,Negative,24
5.0,it's really amazing product. thanks seller and daraz .,"সবুজ লেজার পয়েন্টার (লেজার লাইট) 10km অ্যাডজাস্টেবল ফোকাস (পেশাদার), 553 রেটিং 492 উত্তর দেওয়া প্রশ্ন",Gadgets,Love,Daraz,Positive,9
5.0,in this price this product is quite good. read right speed is pretty good,Pendrive 64 gb with 1 year full replacement warranty,Storage,Happy,Daraz,Positive,14
4.0,আপনাদের পণ্যের প্যাকেজিং ঠিক করেন। বক্সের ভেতর শুধু বোতল ভরে দিয়েছেন। ড্যামেজ হওয়ার অনেক সম্ভাবনা ছিল,MOTUL 3100 4T Gold Technosynthese 20W50 Motor-cycle Engine Oil 1 Liter,Oils & Fluids,Sadness,Daraz,Negative,16
1.0,tkr onujai onk onk onk cuto beg....i think agulo beg er prize 150 hole perfact.....kintu onk dam rakshen,Carton Style kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,Stationery & Craft,Sadness,Daraz,Negative,20
1.0,"Not good at all.
Please don’t buy from this seller",Popcorn (Bhutta)-1 Kg,Snacks & Beverages,Fear,Daraz,Negative,11
5.0,Received today. quick delivery. delivery service was good enough. Both packaging and product is fine.,Good Quality Electric Nail Trimmer for Baby Newborn Nail Trimmer Manicure Kit For Baby Baby Nail Trimmer Nail Care Baby Nail Trimmer Baby Care Set Electric Manicure Set Electric Nail Cutter for Baby,Baby Care & Gifts,Happy,Daraz,Positive,15
5.0,Friendly behaviour with a high quality service and product. Satisfied what has been delivered. Spiral quality could be improved.,Unique Make - Customized mini wooden notebooks with pictures and writing - Gift Box - Innovative Design - To Exprerience Greatness,Stationery & Craft,Happy,Daraz,Positive,19
5.0,product is okay. same as picture. delivery o fast chilo,SKMEI Women Watch Fashion Bracelet Quartz Watch Stainless Steel Waterproof Watch For Women 1805,Watches,Love,Daraz,Positive,10
5.0,পন্যটির মান ভালো আছে কিন্তু বক্স দেয়া না,Zahidi Dates - 1 kg Good Food Good Quality,"Fruits, Meat & Frozen",Sadness,Daraz,Negative,8
1.0,"টাকাটাই লস 
আইফোনে কাজ করে না",USB Type-C (Female) to Lightning (Male) Adapter,Trendy Mobile Accessories,Sadness,Daraz,Negative,6
5.0,"টুকিটাকি কাজ করার জন্য খুব ভাল একটি প্রোডাক্ট, দেখতেও অনেক সুন্দর ।যে কেউ নিঃসন্দে নিতে পারেন।",32 In 1 Multipurpose Precision Screwdriver Disassemble Electronic Repair Tool,"Tools, DIY & Outdoor",Happy,Daraz,Positive,16
5.0,আলহামদুলিল্লাহ ছবিতে যেমন দেখেছি ঠিক তেমনি পেয়েছি কিন্তু চেন খুললেও সেটা মাঝখানে সেলাই করা অরধেক,short Leather Wallet Money bag,Bags,Happy,Daraz,Positive,15
5.0,fan 1din cholar por ar cholena bondho hoye gese battery noshto baje jinish,মিনি হ্যান্ডহেল্ড ওয়াটার মিস্ট স্প্রে কুলার ইউএসবি রিচার্জেবল কুলিং ফ্যান,Fans,Sadness,Daraz,Negative,13
5.0,কাপড় টা একটু পাতলা ।।তাছাড়া সব ঠিক আছে।।।,Digital Home Tex Cotton 8.5/7.5 Feet Double Size Bedsheet With Two Pillow Covers,Bedding,Happy,Daraz,Positive,8
5.0,অনেক ভালো দাম অনু জাই ❤️কিন্তু লেজার টা গরম হয়ে জায়।  অনেক,"সবুজ লেজার পয়েন্টার (লেজার লাইট) 10km অ্যাডজাস্টেবল ফোকাস (পেশাদার), 553 রেটিং 492 উত্তর দেওয়া প্রশ্ন",Gadgets,Sadness,Daraz,Negative,12
2.0,"সব ঠিক ছিল বাট 
প্যাকেট ফুটা ছিল সমান্য পরিমান।",Minister Bright Wash Synthetic Detergent Powder Lemon & Mint (Free 1 KG),Laundry & Household,Sadness,Daraz,Negative,9
5.0,প্রোডাক্টটি খুবই ভালো এবং কোয়ালিটি সম্পন্ন। নিশ্চিন্তে নিতে পারেন ।সেলার ও সাধারণ অসাধারণ।,Popcorn (Bhutta)-1 Kg,Snacks & Beverages,Happy,Daraz,Positive,13
5.0,Good quality.. thanks to the seller 😊,Technic Mega Lash Water Resistant Mascara - 12ml,Makeup,Happy,Daraz,Positive,6
3.0,সাবানের কোয়ালিটি ভালই কিন্তু পরিমানে কম দেওয়া হচ্ছে প্রায় প্রত্যেক সাবানে 3 গ্রামের মত কম। আপনারাও মেপে দেখতে পারেন। এটা একধরনের ধোকা।,"Dettol Soap Pack of 4 Variants (75gm x 4)- Original, Skincare, Cool, Fresh Bathing Bar Soaps",Bath & Body,Sadness,Daraz,Negative,22
5.0,vuttar modda zil r eit ar dana. quality o valo na tmn . dam onujie baje product,Popcorn (Bhutta)-1 Kg,Snacks & Beverages,Sadness,Daraz,Negative,16
1.0,"পন্যটির তেমন ভাল না, প্রিন্ট এর দাগ পেছনেও লেগে আছে।",Trendsetter - Fashion Innovator - Highly Sustainable - Exclusive Jersy half Sleeve T Shirt For Men - T Shirt - Durabilty Assured,Clothing,Anger,Daraz,Negative,10
5.0,"বিস্কিট ভালই, 
তবে দাম বেশি মনে হল, অফারে কিনতে পারলে ঠিকঠাক",DEKKO Milano Biscuit 124gm,Snacks & Beverages,Happy,Daraz,Positive,11
5.0,prothom vabcilam valo hobe na. but akhon neawor por dekhi is a exeleant. onek valo akta sd card shate life time support toe pacci.,ADATA 32GB Class 10 microSD Memory Card,Memory Card,Love,Pickaboo,Positive,24
5.0,খুব সুন্দর ছিল আর অনেক ভালো আমার বেবির অনেক পছন্দ হয়েছে,Baby Safety Nail Clipper Finger Trimmer Scissor Non-slip Buckle Manicure Cutter (1pcs),Baby Care & Gifts,Happy,Daraz,Positive,11
5.0,Pretty good headphones. Long delivery but although it is recommend.,M19 Headset TWS Earphone Intelligente Touch Control Wireless Bluetooth Compatible Headphones Waterproof LED Display With Mic,Audio,Happy,Daraz,Positive,10
1.0,delivery was fast bt the watch is broken. disappointed..,Skmei Stainless Steel Alarm Waterproof Watch for Women,Watches,Anger,Daraz,Negative,9
5.0,"কাপড়ের মন ভালো,
দেখতেও বেশ সুন্দর
যেমনটা চেয়েছিলাম তেমনটাই পেয়েছি
ধন্যবাদ সেলার কে",Pure Cotton One Colour multiary Open Surgical Maxi For Women,Maternity Care,Happy,Daraz,Positive,13
5.0,টাকাটা আমার জলে গেল। থাক আর কিছু বললাম না।,"Mini Music massive Bluetooth Portable Speaker NBS-14 Massive Audio Bass TF/USB/FM/BT Compatile with All Smartphones, Laptops, Tablets",Home Audio,Sadness,Daraz,Negative,9
5.0,Alhamdulillah Good. Seller Recommended.,Type C to Micro USB Converter Type C Female to Micro USB Male Adapter,Trendy Mobile Accessories,Happy,Daraz,Positive,4
5.0,"পেয়াজ আর আলুর গুনগতমান খুব ভাল ছিল
 দাম ও অনেক কম ছিল",Diamond potato 1kg ± 25 gm (CTG),"Fruits, Meat & Frozen",Happy,Daraz,Positive,12
5.0,"indoor 
and outdoor  2tai onek sound শব্দ করে । এখন আমি কি করতে পারি? plz help me  ac ছাড়লে ঘরে থাকা কষ্ট।",Midea 1.5 Ton Non Inverter Ac Split Type Air Conditioner 5 Year Compressor Official Warranty,Air Conditioners,Sadness,Daraz,Negative,21
5.0,products quality & packing are good..thanks to seller & daraz,LouisWill Shoulder Bags school bag for Women,Bags,Happy,Daraz,Positive,9
5.0,মশলা ব্যবহারের ক্ষেত্রে রাঁধুনীই আমার পরিবারের প্রথম পছন্দ। কারণে গুণে ও মানে সেরা। এই মশলাও তার ব্যতিক্রম নয়।,Radhuni Fish Curry Masala - 100gm,"Herbs, Spices & Sauces",Happy,Daraz,Positive,18
5.0,ভাইসব প্রোডাক্ট গুলো ভালো হয়েছে বাট আপনার যত মাল দিয়েছেন সব মাল নষ্ট হয়ে গেছে একটু ভালো ভাবে প্যাকেট  করে দিয়েন ভাইয়া,Closeup Toothpaste Menthol Fresh 100g,Personal Care,Anger,Daraz,Negative,22
5.0,Product Quality Was Perfect. Delivery In Time. Satisfied,Lenovo HE06 Wireless Smart 5.0 In-Ear Neckband Headset with Mic,Bluetooth Headphone,Love,Pickaboo,Positive,8
5.0,প্রথমেই সেলারকে অসংখ্য ধন্যবাদ প্রোডাক্টটি ঠিকঠাক দেওয়ার জন্য। প্যাকেজিং টা বেশ ভাল ছিল এবং ঠিক সময়ের ভেতর পেয়েছি। After-all fully satisfied ❤️❤️ & Must recommended 🙂😌,Studio X Anti Dandruff Shampoo for Men 175ml (75gm Soap Free),Men's Care,Happy,Daraz,Positive,24
5.0,আলহামদুলিল্লাহ্ আজকে হাতে পেলাম ভালোই  হইছে ধন্যবাদ দারাজকে এতো সুন্দর একটা পোডাক দেয়ার জন্য।,Pure And Chemical Free 1Kg Honey Combo Pak,Breakfast,Happy,Daraz,Positive,14
3.0,watch was beautiful except one of its dial stone was missing.,CURREN 9046 Dark Brown PU Leather Analog Watch For Women - Silver & Dark Brown,Watches,Sadness,Daraz,Negative,11
5.0,একটা প্যাকেট ছেড়া ছিল। কিছুটা পাউডার পড়ে গেছে। তারপর ধন্যবাদ ৩৩০ টাকায় দেবার জন্য,Minister Bright Wash Synthetic Detergent Powder Lemon & Mint (Free 1 KG),Laundry & Household,Sadness,Daraz,Negative,14
5.0,It's super so amazaing quality just same like pictures,MATEYOYO Ladies Fashion Watch Retro Quartz Watch 30M Waterproof Watch Ceramics Thin Strap Watch Roman Numerals Dial Watches Luxury Design Watch Wristwatch with Calender Luminous Pointers,Watches,Happy,Daraz,Positive,10
5.0,same as picture... but packaging was not good...,ব্যাটারি চালিত বুলেট ট্রেন - car toy,Remote Control & Play Vehicles,Happy,Daraz,Positive,8
5.0,price hisese onk Valo products. nite paren. recommended,Medium Size Nail Cutter,Baby Care & Gifts,Happy,Daraz,Positive,8
5.0,"nice product,i am happy with the size","Big Size 12.5\"" Square Magnetic Chess Board & Folding Large UB Golden & Silver Color",Traditional Games,Happy,Daraz,Positive,8
5.0,অনেক সুন্দর হইছে কম টাকার মধ্যে দারাজ অনেক ভালো পণ্য ডেলিভারি করছে,Mahadev Trishul Locket with Chain of Men & Women,Men's Jewelry,Happy,Daraz,Positive,12
5.0,"জিনিস ভালো,, ইন্টেক পেয়েছি।সেলারের রেস্পন্সও ভালো,,, আপনাদের জন্যে Recommanded. নিতে পারেন।❤️❣️",USB 3.1 Pendrive -64 GB -Silver - Pen Drive - Pen Drive,Storage,Happy,Daraz,Positive,12
1.0,"product delay করে দেওয়া হয়েছে ,সাথে আলু পচে গেছে ,ঠেথলিয়ে গেছে পেঁয়াজ । এই ক্ষতি পূরণ কে দিবে !",Diamond potato 1kg ± 25 gm,"Fruits, Meat & Frozen",Sadness,Daraz,Negative,17
2.0,এর জন্যই তো কম দাম আসলে বেশী ভালোনা ব্যাবহার করার পরে রিভিউ দিচ্ছি বেশী ফ্যানা হয় না পরিস্কার কপ হয়।,Minister Bright Wash Synthetic Detergent Powder Lemon & Mint (Free 1 KG),Laundry & Household,Sadness,Daraz,Negative,20
3.0,"Shob e thikthak ase
Original product
Khali ektu late delivery paisi",Paradoxical Sajid - Arif Azad,Books,Sadness,Daraz,Negative,11
5.0,"It is small, adorable and quiet. I'm really glad I got it.",EsoGoal Air Humidifier Diffuser Mini Portable Mist Sprayer USB Electric Air Humidifier 260ML Cool Water Mist Maker Desktop Humidifier with Colorful Night Light for Home Office Car,Cooling & Heating,Happy,Daraz,Positive,13
5.0,"সেলার কে ধন্যবাদ,, ঠিক যে রকম ছবি তে ছিল সেরকমই পেয়েছি। ডেলিভারি ম্যান কে ও ধন্যবাদ।",SMUG. Premium T-shirt Fabric soft and comfortable,Clothing,Happy,Daraz,Positive,16
5.0,Beautiful. but price is little bit higher.,LouisWill Ladies Wallet For Women Short Purse PU Leather Hand Bag Large Capacity Card Holder Zipper Purse Fashion Money Bag for Girls Ladies,Bags,Love,Daraz,Positive,7
3.0,"প্রথম প্রোডাক্টটি ভালো হওয়াতে তিনটা একত্রে অর্ডার দিয়েছিলাম, তার মধ্যে একটির দুই হাতা দুই সাইজের।",SMUG. Premium T-shirt Fabric soft and comfortable,Clothing,Happy,Daraz,Positive,15
3.0,not capable of carrying heavy weight as promised,Furniture Moving Tool Heavy Object Mover Furniture Transport Lifter & Furniture Slides 4 Wheeled Mover Roller+1 Wheel Bar Hand Tools Set,"Tools, DIY & Outdoor",Sadness,Daraz,Negative,8
5.0,তারিখ টিক করতে ২ দিন লাগছে দয়া করে তারিখ ও সময় ঠিক করে দেবেন আমাকে জে গড়ি টা দিয়েছেন এটার তারিখ ৪ মাস পিছনে আছিল,LouisWill Women Watches Fashion Watches Casuals Quartz Watches Round Dial Watches 30M Waterproof Watches Alloy Thin Strap Business Wristwatch with Watch Adjuster for Women,Watches,Fear,Daraz,Negative,25
1.0,আমি খুবই দুঃখ পেয়েছি টিভিটার ডিসপ্লে ফাটা।,High-Performance - Deil 32 inch HD LED TV-black - Must Have - Professional Quality - Efficient Make - Sleek Usage,Televisions,Sadness,Daraz,Negative,7
3.0,"প্রোডাক্ট ভালো, তবে প্যাকেজিং সম্পূর্ণ বাজে। একেবারে থার্ডক্লাস টাইপের প্যাকেজিং। প্রোডাক্ট নষ্ট হওয়ার চান্স ৬০%। যারা অর্ডার করবেন বুঝে শুনে অর্ডার করিয়েন।",Pond's Men Facewash Lightning Oil Clear Icy Scrub 100g,Skin Care,Anger,Daraz,Negative,22
5.0,bought again. Without offer buying is costly for me.,Minister Bright Wash Synthetic Detergent Powder Lemon & Mint (Free 1 KG),Laundry & Household,Happy,Daraz,Positive,9
1.0,"Rubbish products, eta eto choto je baccha koyekbaar ulte pore geche. just faaltu, taka ta nosto.",হাতে তৈরি dulna প্রাপ্তবয়স্ক দড়ি বিছানা ঝুলন্ত dulna সব মানুষের জন্য বড় সুইং দড়ি বিছানা রতন dulna ব্যবহার - dolna,"Tools, DIY & Outdoor",Anger,Daraz,Negative,16
1.0,আমি চাইছিলাম রোজ গোল্ড আমাকে দিলেন গোল্ডেন কালার কাজটা ঠিক হয় নাই,CURREN 9004 Quartz Watch for Women - Golden and White,Watches,Anger,Daraz,Negative,12
2.0,এক সাইড ছোট আর এক সাইড একটু বড় রাখলে ভাল হতো,Comfortable Pregnancy Body Pillow,Maternity Care,Happy,Daraz,Positive,11
5.0,খুবই সুন্দর প্যাকেজিং ছিল এবং আলু গুলো খুব সুন্দর অনেক ফ্রেশ চাইলে আপনারও নিতে পারেন,Diamond potato 1kg ± 25 gm,"Fruits, Meat & Frozen",Happy,Daraz,Positive,15
5.0,Product is very nice at this price and data transfer speed is also satisfying.,Pendrive 64 gb with 1 year full replacement warranty,Storage,Happy,Daraz,Positive,14
4.0,Received it in 2 days. I have sent lots of messages to the seller. He responded only to one. Late response. Other things are OK.,একটি কোলাহলপূর্ণ বিশ্বের শান্ত মেয়ে: একটি অন্তর্মুখী এর গল্পের,Books,Sadness,Daraz,Negative,25
1.0,ekdom baje product. use korar por ekdom baje obostha biker. pora takai panite geche.,MOTUL RUN 4T Mineral 20W50 Motor-cycle Engine Oil 1 Liter,Oils & Fluids,Sadness,Daraz,Negative,14
3.0,Average but remember small size,Pokemon Small size Trading Card Game Cards For Kids Gift 1pcs,Traditional Games,Happy,Daraz,Positive,5
5.0,Recommend! Closest one to the Apple watch ultra,"HK8 Pro Max Ultra 2.1"" AMOLED High Refresh Rate Smartwatch",Smart Watch,Happy,Pickaboo,Positive,8
5.0,"Thank you.. really it is very good product
Charge backup 1.5 to 2 hours",Portable Handheld Mini Rechargeable mini Fan Desk Creative Hand Dream Fan 3 Speed 1200mah Battery 5V Micro USB Charging Port for Home Office Outdoor Reading Table - charger fan,Fans,Love,Daraz,Positive,15
4.3,আলহামদুলিল্লাহ ঠিক মতো Product টা পেয়েছি। Quality টা অনেক ভালো। ধন্যবাদ পিকাবোর ভাইয়াদের,UiiSii HM12 In-Ear Earphone,Wired Headphone,Happy,Pickaboo,Positive,13
2.0,"সব ঠিকঠাকই ছিল,  কিন্তু স্ট্রেপটাতে অনেক গুলা দাগ । 
সেলারের উচিৎ এইসব ভালোভাবে  চেক করে দেওয়া ।  খুব একটা খুশি হতে পারলাম না।",Children's Watch LED Display Electronic Digital Watch Cartoon Girls Boys Wrist Watch Children's Gifts,Kids Watches,Anger,Daraz,Negative,21
5.0,"odar dichi...M size 
ar diche L size 🤬🤬",SMUG. Premium T-shirt Fabric soft and comfortable,Clothing,Anger,Daraz,Negative,8
5.0,"ধন্যবাদ সেইলার ভাই কে ❤️।  ওনাদের কথা, কাজের, আর ছবির সাথে সব মিল পেয়েছি ❤️।",Premium cross body bag for men Official Messenger Bag Bike Rider Cross body Bag Pu Leather Bag Shoulder Bag Diagonal Package Handbag Bag For Men cross body shoulder bag for men messenger bag waist bag pu leather side bag for men Men Fashion Shoulder Bag,Laptop Bags & Cases,Happy,Daraz,Positive,13
1.0,"একদম ফালতু, কেমন জানি মনে হচ্ছিলো ব্যাবহার করা পন্য। ৩ জায়গাতে ফুটা বের হইছে । তবে ডেলিভারি ম্যান  অনেক ভালো ছিল।",Exclusive Jersey T shirt For Man Dorji Mall,Clothing,Anger,Daraz,Negative,20
5.0,"dekhte cute, dam onusare sound quality thik ASE,  kintu beshi choto. chobi dekhe mone hoy nai eto choto Hobe eita 😁. overall Valo you",M3 Mini Metal Portable Wireless Bluetooth Speaker,Home Audio,Happy,Daraz,Positive,23
5.0,it arrived in time. very happy with this product. working good. fully satisfied.,Sharp Microwave Oven R-20A0(K)V 20 Liters - Black,Microwaves,Love,Daraz,Positive,13
5.0,অর্ডারকৃত সঠিক কালার ও পণ্য পেয়েছি। আপাত দৃষ্টিতে কোনো ত্রুটি চোখে পড়ে নাই এবং গুণগত মান বেশ ভালো মনে হয়েছে। আশা করছি ভালো সর্ভিস দিবে।,SKMEI Fashion Quartz Watches Simple Stainless Steel Elegant Waterproof Watch For Women 1410,Watches,Happy,Daraz,Positive,25
5.0,"Item As Described, No issues with shipping",LouisWill Women Watches Fashion Watches Casuals Quartz Watches Round Dial Watches 30M Waterproof Watches Alloy Thin Strap Business Wristwatch with Watch Adjuster for Women,Watches,Love,Daraz,Positive,7
5.0,সুন্দর একটি প্রডাক্ট কোয়ালিটি প্রডাক্ট 💯💯,Sharp Microwave Oven R-75Mt(S),Microwaves,Love,Daraz,Positive,5
5.0,"খুব ভালো একটা পণ্য,আপনারা নিতে পারেন,সেলার ভাই খুব ভালো,ধন্যবাদ দারাজকে।",Black Denim Casual Jeans for Men,Clothing,Happy,Daraz,Positive,13
5.0,"দাম হিসেবে প্রোডাক্ট অনেক ভালো, কিন্তু বাইক রাইড করার সময় গ্লাস গুলা কাপে এটাই সমস্যা।
ধন্যবাদ, দারাজ",Universal Looking Glass For Motorcycle. Handle Looking Glass Mirror For all Bike- Koso Black,Motorcycle Parts & Spares,Happy,Daraz,Positive,17
4.7,"অসাধারণ একটা স্মার্ট ওয়াচ! চার্জ মোটামুটি ১০ দিনের মত থাকে, তবে প্রাইজ১৫০০০ এর মধ্যে হলে বেষ্ট হতো।",Amazfit GTR 3 Pro Smart Watch Global Version with Free T-Shirt,Smart Watch,Happy,Pickaboo,Positive,17
2.0,কাপড়টা একদম পাতলা আরকি। but মোটামুটি ভালো আছে নিতে পারেন,King Size Bedsheet Set with Two Pillow Covers,Bedding,Happy,Daraz,Positive,10
