orig_id,post,aspect,polarity,pred_aspect,pred_sentiment,aspect_true,sent_true,aspect_pred,sent_pred,fw_status_code,fw_raw_text,fw_error,aspect_correct,sentiment_correct,both_correct
2850,আওয়ামীলীগ চোর ভোট চোর,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
5264,বাংলাদেশ টিমের জন্য দোয়া ও শুভকামনা রইলো!,sports,positive,sports,positive,sports,positive,sports,positive,200,"{""aspect"": ""sports"", ""sentiment"": ""positive""} ",,1,1,1
5464,যে আমলগুলো করলে আপনি নবজাতক শিশুর মত নিষ্পাপ হয়ে যাবেন,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
2446,আর সিদ্ধান্ত আসে গণভবন থেকে,politics,neutral,politics,negative,politics,neutral,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
3491,"বার্সা যখন কোন প্লেয়ার ছেড়ে দেয় তখন ঠিকআছে,",sports,neutral,sports,negative,sports,neutral,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,0,0
8980,হাছান মাহমুদ হলো ছাগলের তিন নাম্বার বাচ্চা,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
4681,তোদের বিচারও একদিন হবে,other,positive,politics,negative,other,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,0,0
459,চাচা আপনাদের সংলাপ কি বছর ভরিয়া চলিতে থাকিবে?,other,neutral,other,positive,other,neutral,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,0,0
690,মুজিব হত্যার কলঙ্ক মোচন,politics,positive,politics,negative,politics,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
2727,"আমি মন থেকেই চাই,সাকিব এই দেশের হয়ে অন্তত ক্রিকেটে না ফিরুক।",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
4124,বেঈমানী করে লাভ নেই,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
6541,মামলা কি বাংলালিংক দামে?,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
8823,জামায়াত শিবিরের ভয় নাই রাজপথ ছাড়ি নাই,politics,negative,politics,positive,politics,negative,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,0,0
8134,"আর যে ধৈয ধরে রাখতে পারছি না ভাই,আপনি কবে খেলবেন আবার",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
3780,মুশি ভাই আপনি না খেললে আমরা ও খেলা দেখব না।,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
1218,আশা করি বাংলাদেশ পুলিশবাহীনি জনগণের পক্ষে কাজ করবে।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
4967,একে জনগণের ঐক্য বলে না একে বলে খমোতা ভাগাভাগির ঐক্য,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
5156,সমাধান একটা চাই।,other,positive,other,negative,other,positive,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
4966,যারা ইসলামকে বুঝতে পারিনি তাদেরকে তফিক দান কর,religion,positive,religion,negative,religion,positive,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,0,0
3897,এই দোয়া পইড়া সবাই নাকে তেলদিয়া ঘুমান ।,religion,neutral,religion,negative,religion,neutral,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,0,0
4077,"দেম্বেলের মত স্পিড স্টার কে ছেড়ে দেওয়া বার্সার জন্য বোকামী হবে, নেইমার হইলো সুদেলাং বাবু যে কোনো সময় পল্টি নিতে পারে।",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
3090,বাংলাদেশে চলে রাজনীতির নামে নোংরামি,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
5341,"আল্লাহ আপনার ভালো করুক,আমার জন্য দোয়া করবেন।",religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
7617,ইউএস এর জেলে আফিফা গত বছর ই মারা গেছেন!,politics,negative,other,negative,politics,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,0,1,0
3260,যাক স্বঃস্তির নিঃশ্বাস,other,positive,other,positive,other,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,1,1
357,এছাড়া তো লোক আনার কোন উপায় নাই?,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
2440,এবার দেশ বাঁচাও,other,positive,politics,positive,other,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,0,1,0
2445,সবাইকে দেখার আমন্ত্রন রইলো,other,neutral,other,positive,other,neutral,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,0,0
5477,ইসলাম প্রচারের জন্য একাউন্ট নম্বর দিয়ে যাকাতের অংশ থেকে দিতে বলে,religion,neutral,religion,negative,religion,neutral,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,0,0
1604,আল হামদুলিল্লাহ স্যার,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
2070,রোনালদো বিহীন রিয়াল মাদ্রিদর ম্যাচের কেউ দেখেনা আমিও না,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
6817,হাছাইন্নারে রুজ তার বউয়ে পিডায়,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
7698,প্রত্যাশা করি ভালো কিছু হোক।,other,positive,other,positive,other,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,1,1
351,কিছু বলার ভাষা হারিয়ে ফেলেছি,other,neutral,other,negative,other,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
8002,মুসলমানের পোশাকের উত্তম রং হচ্ছে সাদা।,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
7971,আমরা বলি নো আয়কর,other,negative,politics,positive,other,negative,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,0,0,0
1170,আল্লাহ আপনি জাকির নায়েক স্যার কে হেফাজত করুন,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
8849,"যদি আমি আসি, শেখ হাসিনাকেও আসতে হবে: আদালতকে খালেদা জিয়া",politics,neutral,politics,negative,politics,neutral,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
3361,আল্লাহ্‌ আপনাকে হায়াত দান করুক,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
6162,"সিলেট সিক্সার্স হেরে যাওয়ায় এতোটা কষ্ট লাগেনি,যতটা আনন্দ লেগেছে ম্যাশের টিম জিতায়",sports,positive,sports,positive,sports,positive,sports,positive,200,"{""aspect"": ""sports"", ""sentiment"": ""positive""} ",,1,1,1
8748,আপনারা শুধু দেখে যাবেন এটাই.....!,other,neutral,other,negative,other,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
226,ইবরাহিম আঃ এর বাবার নাম কি আমাকে বলবেন,religion,neutral,other,neutral,religion,neutral,other,neutral,200,"{""aspect"": ""other"", ""sentiment"": ""neutral""} ",,0,1,0
233,শুরু হলো দেখতে থাকুন,other,neutral,other,positive,other,neutral,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,0,0
1632,কোরআন পড়তে ভালো লাগে এবং পরিও,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
8770,জনগনের অধিকার চাই,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
538,ইহা একটি চাল।,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
2114,তবে খবরে প্রকাশ পিছিয়ে নেই বাংলাদেশ ও,other,positive,politics,positive,other,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,0,1,0
5489,ছোঁয়াচে রোগ বলতে কিছু নেই হাদিসে বিজ্ঞান,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
5418,কোরআন হাদীসে থেকে ভয় দেখিয়ে মোল্লারা এসন বানোয়াট লেখা লেখে,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
854,অভিনন্দন টিম টাইগার,sports,positive,sports,positive,sports,positive,sports,positive,200,"{""aspect"": ""sports"", ""sentiment"": ""positive""} ",,1,1,1
1393,তাই পবিত্রতা রক্ষা করুন....!!,religion,neutral,religion,positive,religion,neutral,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,0,0
7797,আপনি সরকারের দালাল,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
3670,খুব মিস করবো ক্যাপটেন ম্যাশকে।,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
3946,সৌদিআরব সরকার বর্তমানে ইসরাইলের দালালি করছে ।,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
326,ভারতের সামনে পাকিস্তান একটা ছাগল,other,neutral,politics,negative,other,neutral,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,0,0
6168,কি আলোচনা হয়েছে তা কি কিছু বলা যাবে,other,neutral,other,negative,other,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
8554,আল্লাহর লা নত এবারই তোমার অপেক্ষা করছে কাকু মশাই,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
1605,অনেকদিন বাজে ফর্মে ছিল।,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
716,ব্যালন ডি'অর আর গোল্ডেন বুটগুলো গুলিস্তান থেকে কিনেছে মনে হয়,sports,neutral,sports,neutral,sports,neutral,sports,neutral,200,"{""aspect"": ""sports"", ""sentiment"": ""neutral""} ",,1,1,1
6051,হুদা বেসামাল হয়ে ভাষণ দিয়েছে,other,negative,politics,negative,other,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,1,0
1882,"ভাই পাপন বাইনচোদ যতদিন ক্রিকেট বোর্ডের সাথে থাকবে ততদিন এদেশের ক্রিকেট উন্নতি করতে পারবেনা,",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
8611,এক খৃষ্টান বাদশাহ চারটি প্রশ্ন লিখে ওমর (রাঃ) এঁর কাছে পাঠালেন এবং আসমানী কিতাবের আলোকে প্রশ্নের উত্তর চাইলেন।,religion,positive,religion,neutral,religion,positive,religion,neutral,200,"{""aspect"": ""religion"", ""sentiment"": ""neutral""} ",,1,0,0
3737,আপনাকেই বি এন পির সভাপতি পথ প্রধান করা হোক,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
439,মিলাদ ও কিয়ামের কি।,religion,neutral,religion,neutral,religion,neutral,religion,neutral,200,"{""aspect"": ""religion"", ""sentiment"": ""neutral""} ",,1,1,1
7070,দালালদের মুখোশ উন্মোচন করে দিন,other,negative,politics,negative,other,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,1,0
3937,জাতির বৃহত্তর স্বার্থে নির্বাচন পিছিয়ে গেলেও ভালো।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
7509,এ ভাবে আর কতো?,other,neutral,other,negative,other,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
4837,এটা ঈদের নামাজের কথা আসলো কিভাবে বলেন ভাইয়া,religion,neutral,religion,negative,religion,neutral,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,0,0
1488,"দেশের হয়ে কোন ট্রফি জিতে নায়, আর বিশ্বকাপ!",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
890,আল্লাহ আপনাকে হায়াতে তাইয়্যেবা দান করুক।,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
138,জামালপুর জেলা বিএনপি মামুন ভাই,politics,neutral,politics,positive,politics,neutral,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,0,0
3349,বিএনপির নেতৃত্বাধীন রাজনৈতিক জোট ২০ দলের পরিধি বড় হয়েছে।,politics,neutral,politics,positive,politics,neutral,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,0,0
2511,ধন্যবাদ লাইভে আশার জন্য,other,positive,other,positive,other,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,1,1
7923,বাংলাদেশ একম্যাচ হাতে রেখে সিরিজ জিতেছে,sports,negative,sports,positive,sports,negative,sports,positive,200,"{""aspect"":""sports"",""sentiment"":""positive""} ",,1,0,0
6041,সংবিধান সংশোধন করে হলে হতে পারে,politics,neutral,politics,neutral,politics,neutral,politics,neutral,200,"{""aspect"": ""politics"", ""sentiment"": ""neutral""} ",,1,1,1
2621,১৪৪ ধারা জারি করে আমার মনে হয় কোন লাভ হবে না,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
8323,ইসলামে গনিমতের মাল কি হালাল?,religion,neutral,religion,neutral,religion,neutral,religion,neutral,200,"{""aspect"": ""religion"", ""sentiment"": ""neutral""} ",,1,1,1
1674,"ক্যাপ্টেন হিসেবে অনেকেই আসবে,মাশরাফির মতো ক্যাপ্টেন পাবে না হয়তো বাংলাদেশ",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
8428,আরবি আলেম শব্দটির বংলা অর্থ জ্ঞাণী,religion,neutral,religion,positive,religion,neutral,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,0,0
2499,স্টেভিন স্মিথ বল টেম্পারিং এর দায়ে ১ বছর নিষিদ্ধ,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
8006,"তোমার অভাবটা আমরা টি টোয়ান্টি এবং টেষ্ট ম্যাচ এ অনুভব করি,ইনশাল্লাহ এবার ঘুরে দাড়াবে,ভালবাসা রইলো,থাকবে বাংলাদেশ টিমের প্রতি সব সময়!",sports,positive,sports,positive,sports,positive,sports,positive,200,"{""aspect"":""sports"",""sentiment"":""positive""} ",,1,1,1
7306,জিয়ারটা নিলে কি মুজিবের টা থাকবে।,politics,neutral,politics,negative,politics,neutral,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
8218,চটি ইমাম ইসির মুখপাত্র হলো কবে থেকে?,politics,negative,religion,neutral,politics,negative,religion,neutral,200,"{""aspect"": ""religion"", ""sentiment"": ""neutral""} ",,0,0,0
8778,ব্যক্তি সাকিব আল হাসান একদিন হয়তো অবসরে যেতেন,sports,neutral,sports,neutral,sports,neutral,sports,neutral,200,"{""aspect"": ""sports"", ""sentiment"": ""neutral""} ",,1,1,1
2391,এমন পোস্ট বার্সায় দেখায় যায় না।,sports,negative,other,negative,sports,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,0,1,0
4906,সবাইকে দোআ করতে হবে না যদি ঈমান ধার হয় জান্নাত আর ঈমান না তাকলে জাহান্নাম হক্কুম এর দোআ মানুষ মরবেনা টিক না,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
3312,তার চেয়ে বরং টেষ্ট খেলাটা বাদ দিয়ে দিন।,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
472,খালেদার মুক্তির ব্যাপারে আদালতই সিদ্ধান্ত দেবেন,politics,neutral,politics,neutral,politics,neutral,politics,neutral,200,"{""aspect"": ""politics"", ""sentiment"": ""neutral""} ",,1,1,1
1500,এগুলো সবই আওয়ামী লীগের কেনা গোলাম,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
7117,"খমতার দাপটে বেপরোয়া সীমা অতিক্রম,",politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
7103,ইসলামের নামে কুৎসা রটিয়ে তো আমেরিকার গ্রীন কার্ড পেয়েছেন।,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
1406,"স্যার সরকারের কথাই জনগণের কে মারেন না,সাধারন জনগন কি চাই সেটা করার চিন্তা করুন।",politics,positive,politics,negative,politics,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
2286,অমুসলিম পুরুষদের ওপর আক্রমণ করার উদ্দেশ্যে অমুসলিম নারী ও শিশুদের হত্যা করে ফেললে কোনো অপরাধ হবে না,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
2333,তোমরা( নাস্তিক) রা কোন ধর্মের।,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
6881,"খারাপ লাগতাছে এইজন্য যে হয়তো একটা ট্রিপল হান্ড্রেড মিস করলেন,",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
5214,বেতের নামাজে ৩য় রাকাতে,religion,neutral,religion,neutral,religion,neutral,religion,neutral,200,"{""aspect"": ""religion"", ""sentiment"": ""neutral""} ",,1,1,1
3539,ভালো থাকুক মারশাফি।,sports,positive,other,positive,sports,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,0,1,0
1418,কোনো লাভ নাই,politics,neutral,other,negative,politics,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,0,0,0
7455,মান্না কে প্রধান উপদেষ্টা হিসেবে নিয়োগ দেওয়া হোক.,other,neutral,politics,positive,other,neutral,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,0,0,0
7084,নিশ্চই রাস্তা সংস্করণের কাজ চলছে,other,positive,other,positive,other,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,1,1
8141,পঞ্চগড়ের মাটি বি এন পির ঘাটি,politics,positive,other,negative,politics,positive,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,0,0,0
6790,অতি লাফালাফিতে দুই দিকে ট্রেন মিস।,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
3783,রোনালদো হইলো জীবন্ত ফুটবল ঈশ্বর অার সেখানে মেসি জাস্ট একটা এলিয়েন,sports,neutral,sports,negative,sports,neutral,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,0,0
4770,নিয়ত তো করতে হবে।,religion,neutral,other,negative,religion,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,0,0,0
2878,আমরাভোট দিতে চাই আগের বার পারি নাই,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
4847,ভুল বুঝতে পারছেন মোল্লা সাহেব।,other,positive,religion,negative,other,positive,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,0,0,0
187,আপনি টিক বলছেন,other,positive,other,negative,other,positive,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
291,আলহামদুলিল্লাহ শুরু করেন ভাই শুরু করেন,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
8525,আমরা চাই শেখ হাসিনা সরকার।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
3126,আল্লাহ সহায় থাকুন।,religion,positive,religion,negative,religion,positive,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,0,0
6497,ইসলামে কদমবুচি করা জায়েজ আছে কি?,religion,neutral,religion,neutral,religion,neutral,religion,neutral,200,"{""aspect"": ""religion"", ""sentiment"": ""neutral""} ",,1,1,1
4995,"যে সামান্য কিছু বোনাস অর্থের জন্য ক্লাবের বিরুদ্ধে মামলা করে,পরে রায় তার বিপক্ষে যাওয়াতে আবার কঠোর হয় আসলে তার কি লজ্জা নাই একটুও..",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
6697,বাল ফালাইবে হালার পো হালায়,other,negative,sports,negative,other,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,0,1,0
1465,অবৈধদের বৈধতা দিতে নির্বাচনে অংশগ্রহণ করবেনা ঐক্যফ্রন্ট,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
6060,তামিম ইকবাল যখন খেলেন তখন উনার পাশে মানান মনে হয়,sports,neutral,sports,positive,sports,neutral,sports,positive,200,"{""aspect"": ""sports"", ""sentiment"": ""positive""} ",,1,0,0
4972,আপনাকে ও ধন্যবাদ,other,positive,other,positive,other,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,1,1
5739,মোদের জয় বাংলা।,politics,positive,other,positive,politics,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,0,1,0
1597,এদেন উপর কেউ ভরসা করে না।,other,negative,politics,negative,other,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,1,0
7065,যে সব প্রমাণ দিয়ে কথা বলে সে মুনাফেক ।,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
1941,"বাদশা মোহাম্মাদ এর সৌদি ছিলো মুসলমানের সৌদি,আর বাদশা সালমান এর সৌদি হলো ইহুদিদের সৌদি",politics,negative,religion,negative,politics,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,0,1,0
8666,ভন্ড পীর আর ওহাবি শিয়া লামাজহাবি জীহাদী মৌলবাদী মোজাহেদিন এরা সবাই কাফের,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
1538,তফসিল ঘোষণা হয়ে গেছে তাই নির্বাচনের প্রস্তুতি নেওয়া ভালো।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
7789,পূজা উপলক্ষে পণ্যের উপর যে ছাড় দেওয়া হয়... এইটা কি হালাল হবে নাকি হারাম,religion,neutral,religion,negative,religion,neutral,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,0,0
957,হলি আর্টিজনে হামলাকারী জাকির নায়েকের সমর্থক এই মর্মে ডা.জাকির যদি নিষিদ্ধ হয়,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
