row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,fw_status_code,fw_error
207,Positive,Neutral,Happy,Love,3,2,1.0,0.6666666666666666,0.8,200,
208,Negative,Negative,Anger,Sadness,3,2,0.0,0.0,0.0,200,
209,Neutral,Positive,Anger,Happy,3,2,0.0,0.0,0.0,200,
210,Negative,Neutral,Anger,Love,3,2,1.0,0.6666666666666666,0.8,200,
211,Negative,Neutral,Anger,Love,3,2,1.0,0.6666666666666666,0.8,200,
212,Negative,Positive,Sadness,Happy,2,1,0.0,0.0,0.0,200,
213,Negative,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
214,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
215,Neutral,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
216,Neutral,Neutral,Sadness,Love,2,1,0.0,0.0,0.0,200,
217,Neutral,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
218,Neutral,Neutral,Anger,Fear,2,1,0.0,0.0,0.0,200,
219,Neutral,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
220,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
221,Neutral,Neutral,Happy,Sadness,2,2,1.0,1.0,1.0,200,
222,Positive,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
223,Neutral,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
224,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
225,Negative,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
226,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
227,Neutral,Neutral,Anger,Love,2,2,0.5,0.5,0.5,200,
228,Neutral,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
229,Neutral,Positive,Sadness,Happy,2,2,0.0,0.0,0.0,200,
230,Negative,Neutral,Anger,Anger,2,2,1.0,1.0,1.0,200,
231,Neutral,Positive,Happy,Happy,2,1,0.0,0.0,0.0,200,
232,Neutral,Negative,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
233,Negative,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
234,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
235,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
236,Positive,Neutral,Happy,Sadness,2,3,0.0,0.0,0.0,200,
237,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
238,Positive,Neutral,Happy,Sadness,2,2,1.0,1.0,1.0,200,
239,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
240,Negative,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,200,
241,Neutral,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
242,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
243,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
244,Positive,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
245,Positive,Neutral,Happy,Love,2,3,0.0,0.0,0.0,200,
246,Neutral,Neutral,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
247,Positive,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
248,Neutral,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,200,
249,Neutral,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
250,Neutral,Neutral,Happy,Love,2,3,0.3333333333333333,0.5,0.4,200,
251,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
252,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
253,Negative,Negative,Anger,Anger,2,2,0.0,0.0,0.0,200,
254,Neutral,Neutral,Sadness,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
255,Positive,Positive,Happy,Happy,2,1,0.0,0.0,0.0,200,
256,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
257,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
258,Positive,Neutral,Happy,Love,2,2,1.0,1.0,1.0,200,
259,Negative,Neutral,Anger,Love,2,1,0.0,0.0,0.0,200,
260,Negative,Positive,Anger,Happy,2,8,0.0,0.0,0.0,200,
261,Negative,Neutral,Anger,Love,3,2,1.0,0.6666666666666666,0.8,200,
262,Negative,Negative,Anger,Anger,3,2,1.0,0.6666666666666666,0.8,200,
263,Negative,Neutral,Anger,Sadness,3,2,0.0,0.0,0.0,200,
264,Positive,Neutral,Happy,Sadness,3,3,0.0,0.0,0.0,200,
265,Negative,Neutral,Anger,Sadness,3,4,0.0,0.0,0.0,200,
266,Positive,Positive,Happy,Happy,3,2,0.5,0.5,0.5,200,
267,Neutral,Positive,Happy,Happy,3,2,1.0,0.6666666666666666,0.8,200,
268,Positive,Neutral,Happy,Love,3,2,0.0,0.0,0.0,200,
269,Positive,Positive,Happy,Happy,3,2,0.0,0.0,0.0,200,
270,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
271,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
272,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
273,Negative,Negative,Anger,Anger,2,1,0.0,0.0,0.0,200,
274,Neutral,Neutral,Anger,Love,2,2,0.5,0.5,0.5,200,
275,Negative,Positive,Anger,Happy,2,1,0.0,0.0,0.0,200,
276,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
277,Negative,,Happy,,2,0,0.0,0.0,0.0,200,
278,Negative,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
279,Neutral,Neutral,Sadness,Love,2,2,0.0,0.0,0.0,200,
280,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
281,Negative,Neutral,Anger,Anger,2,1,0.0,0.0,0.0,200,
282,Positive,Neutral,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
283,Neutral,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
284,Neutral,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
285,Neutral,Neutral,Anger,Anger,2,2,1.0,1.0,1.0,200,
286,Negative,Negative,Sadness,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
287,Negative,Neutral,Sadness,Love,2,2,0.5,0.5,0.5,200,
288,Positive,Neutral,Happy,Love,3,2,0.0,0.0,0.0,200,
289,Negative,Neutral,Anger,Sadness,3,3,0.0,0.0,0.0,200,
290,Neutral,Neutral,Anger,Love,2,1,0.0,0.0,0.0,200,
291,Neutral,Neutral,Happy,Love,2,2,1.0,1.0,1.0,200,
292,Negative,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
293,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
294,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
295,Positive,Positive,Happy,Love,2,2,0.5,0.5,0.5,200,
296,Negative,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
297,Negative,Neutral,Anger,Happy,2,2,0.5,0.5,0.5,200,
298,Neutral,Neutral,Sadness,Love,2,2,1.0,1.0,1.0,200,
299,Negative,Neutral,Anger,Love,2,1,0.0,0.0,0.0,200,
300,Negative,Negative,Anger,Anger,2,3,1.0,1.0,1.0,200,
301,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
302,Positive,Positive,Happy,Love,2,2,0.0,0.0,0.0,200,
303,Neutral,Positive,Happy,Love,2,2,0.0,0.0,0.0,200,
304,Neutral,Neutral,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
305,Neutral,Neutral,Anger,Anger,2,1,0.0,0.0,0.0,200,
306,Negative,Neutral,Sadness,Love,2,2,1.0,1.0,1.0,200,
307,Negative,Negative,Anger,Fear,2,1,0.0,0.0,0.0,200,
308,Neutral,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
309,Positive,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
310,Negative,Neutral,Sadness,Love,2,1,1.0,0.5,0.6666666666666666,200,
311,Positive,Positive,Happy,Happy,2,2,1.0,0.5,0.6666666666666666,200,
312,Negative,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
313,Negative,Neutral,Sadness,Love,2,1,1.0,0.5,0.6666666666666666,200,
314,Negative,Neutral,Sadness,Love,3,3,0.0,0.0,0.0,200,
315,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,200,
316,Neutral,Neutral,Anger,Sadness,3,2,1.0,0.6666666666666666,0.8,200,
317,Positive,Positive,Happy,Happy,3,2,0.5,0.3333333333333333,0.4,200,
318,Positive,,Happy,,2,0,0.0,0.0,0.0,200,
319,Negative,Positive,Anger,Love,2,2,0.5,0.5,0.5,200,
320,Negative,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
321,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
322,Neutral,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
323,Neutral,Neutral,Fear,Fear,2,2,0.0,0.0,0.0,200,
324,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
325,Neutral,Neutral,Anger,Anger,2,2,1.0,1.0,1.0,200,
326,Neutral,Neutral,Happy,Fear,2,2,0.5,0.5,0.5,200,
327,Negative,Negative,Sadness,Anger,2,1,1.0,0.5,0.6666666666666666,200,
328,Negative,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
329,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
330,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
331,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
332,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
333,Positive,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
334,Positive,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
335,Negative,Neutral,Anger,Love,2,2,0.5,0.5,0.5,200,
336,Negative,Neutral,Anger,Anger,2,2,0.5,0.5,0.5,200,
337,Neutral,Neutral,Sadness,Love,2,2,1.0,1.0,1.0,200,
338,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
339,Negative,Neutral,Sadness,Love,2,2,1.0,1.0,1.0,200,
340,Negative,Negative,Sadness,Anger,2,1,0.0,0.0,0.0,200,
341,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
342,Positive,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
343,Neutral,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
344,Positive,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
345,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
346,Neutral,Neutral,Anger,Love,2,1,1.0,0.5,0.6666666666666666,200,
347,Negative,Neutral,Anger,Love,2,1,1.0,0.5,0.6666666666666666,200,
348,Negative,Negative,Sadness,Anger,2,2,0.0,0.0,0.0,200,
349,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
350,Neutral,Neutral,Happy,Anger,2,2,0.0,0.0,0.0,200,
351,Neutral,Neutral,Happy,Sadness,2,1,0.0,0.0,0.0,200,
