row_idx,Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment,word_count,absa_overall_sentiment,absa_overall_emotion,absa_triplets_json,absa_raw_text,absa_status_code,absa_error,absa_raw_json
15,1,onak sundor prodak but size 🦐 small,Fishing Hooks Portable Multi-size High Carbon Steel Fishhook With Barbs Fishing Tackle Accessories For Gifts,Outdoor Recreation,Love,Daraz,Positive,6,Neutral,Happy,"[{""aspect_category"": ""Design_Style"", ""aspect_term"": ""prodak"", ""opinion_term"": ""onak sundor"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Size_Dimensions"", ""aspect_term"": ""size"", ""opinion_term"": ""small"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Design_Style"",""aspect_term"":""prodak"",""opinion_term"":""onak sundor"",""sentiment"":""Positive""},{""aspect_category"":""Size_Dimensions"",""aspect_term"":""size"",""opinion_term"":""small"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Design_Style"", ""aspect_term"": ""prodak"", ""opinion_term"": ""onak sundor"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Size_Dimensions"", ""aspect_term"": ""size"", ""opinion_term"": ""small"", ""sentiment"": ""Negative""}]}"
17,5,its working but speed not fast,Pendrive 32gb high speed flash drives,Storage,Happy,Daraz,Positive,6,Negative,Anger,"[{""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""working"", ""opinion_term"": ""its working"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""speed"", ""opinion_term"": ""not fast"", ""sentiment"": ""Negative""}]","{
  ""overall_sentiment"": ""Negative"",
  ""overall_emotion"": ""Anger"",
  ""triplets"": [
    {
      ""aspect_category"": ""Performance_Effectiveness"",
      ""aspect_term"": ""working"",
      ""opinion_term"": ""its working"",
      ""sentiment"": ""Positive""
    },
    {
      ""aspect_category"": ""Performance_Effectiveness"",
      ""aspect_term"": ""speed"",
      ""opinion_term"": ""not fast"",
      ""sentiment"": ""Negative""
    }
  ]
}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""working"", ""opinion_term"": ""its working"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""speed"", ""opinion_term"": ""not fast"", ""sentiment"": ""Negative""}]}"
18,4,product same but colour uthe prochur,New Exclusive Dhupian screen print saree,Traditional_Clothing,Fear,Daraz,Negative,6,Negative,Anger,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""same"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""uthe prochur"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""same"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Color_Finish"",""aspect_term"":""colour"",""opinion_term"":""uthe prochur"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""same"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""uthe prochur"", ""sentiment"": ""Negative""}]}"
19,1,Expired items delivered but got Refund,Diamond potato 1kg ± 25 gm (CTG),"Fruits, Meat & Frozen",Sadness,Daraz,Negative,6,Negative,Anger,"[{""aspect_category"": ""EXPIRY"", ""aspect_term"": ""expired items"", ""opinion_term"": ""expired (delivered)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Return_Refund"", ""aspect_term"": ""refund"", ""opinion_term"": ""got refund"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""EXPIRY"",""aspect_term"":""expired items"",""opinion_term"":""expired (delivered)"",""sentiment"":""Negative""},{""aspect_category"":""Return_Refund"",""aspect_term"":""refund"",""opinion_term"":""got refund"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""EXPIRY"", ""aspect_term"": ""expired items"", ""opinion_term"": ""expired (delivered)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Return_Refund"", ""aspect_term"": ""refund"", ""opinion_term"": ""got refund"", ""sentiment"": ""Positive""}]}"
23,2,product look orginal but is it orginal??,CURREN 9052 Stainless Steel Watch for Women,Watches,Fear,Daraz,Negative,7,Negative,Fear,"[{""aspect_category"": ""Originality"", ""aspect_term"": ""product"", ""opinion_term"": ""look orginal"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""product"", ""opinion_term"": ""is it orginal??"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Fear"",""triplets"":[{""aspect_category"":""Originality"",""aspect_term"":""product"",""opinion_term"":""look orginal"",""sentiment"":""Positive""},{""aspect_category"":""Originality"",""aspect_term"":""product"",""opinion_term"":""is it orginal??"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Fear"", ""triplets"": [{""aspect_category"": ""Originality"", ""aspect_term"": ""product"", ""opinion_term"": ""look orginal"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""product"", ""opinion_term"": ""is it orginal??"", ""sentiment"": ""Negative""}]}"
24,5,Good to see but colour is temporary.,LouisWill Women's Watch Fashion Heart Shaped Hollow Watch Diamond Inlaid Watch With Calendar 30M Waterproof Watch Luminous q Watch Quartz Watch Steel Band Watch,Watches,Sadness,Daraz,Negative,7,Negative,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""Good to see"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""colour is temporary"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Sadness"",""triplets"":[{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Color_Finish"",""aspect_term"":""colour"",""opinion_term"":""Good to see"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Color_Finish"",""aspect_term"":""colour"",""opinion_term"":""colour is temporary"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""Good to see"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""colour is temporary"", ""sentiment"": ""Negative""}]}"
26,5,not much capacity but it's aesthetic,Exceotional Quality - Big Capacity Pencil Case Simple Checkerboard Latis Pencil Bag Stationery Student - Pencil Bag - Vintage Choice,Stationery & Craft,Sadness,Daraz,Negative,7,Neutral,Happy,"[{""aspect_category"": ""SIZE_DIMENSIONS"", ""aspect_term"": ""capacity"", ""opinion_term"": ""not much capacity"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Design_Style"", ""aspect_term"": ""aesthetic"", ""opinion_term"": ""it's aesthetic"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""SIZE_DIMENSIONS"",""aspect_term"":""capacity"",""opinion_term"":""not much capacity"",""sentiment"":""Negative""},{""aspect_category"":""Design_Style"",""aspect_term"":""aesthetic"",""opinion_term"":""it's aesthetic"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""SIZE_DIMENSIONS"", ""aspect_term"": ""capacity"", ""opinion_term"": ""not much capacity"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Design_Style"", ""aspect_term"": ""aesthetic"", ""opinion_term"": ""it's aesthetic"", ""sentiment"": ""Positive""}]}"
28,5,ডেলিভারি যদিও দেরিতে দিছে কিন্তু পন্য অরিজিনাল,Carat 2Pcs/3Pcs/Set Women Watch Bracelet Kit Round Dial Shiny Rhinestones Inlaid Roman Numerals Decorative Gift Lady Quartz Wristwatch,Watches,Love,Daraz,Positive,7,Neutral,Happy,"[{""aspect_category"": ""Timeliness"", ""aspect_term"": ""ডেলিভারি"", ""opinion_term"": ""দেরিতে দিছে"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""পন্য"", ""opinion_term"": ""অরিজিনাল"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Timeliness"",""aspect_term"":""ডেলিভারি"",""opinion_term"":""দেরিতে দিছে"",""sentiment"":""Negative""},{""aspect_category"":""Originality"",""aspect_term"":""পন্য"",""opinion_term"":""অরিজিনাল"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Timeliness"", ""aspect_term"": ""ডেলিভারি"", ""opinion_term"": ""দেরিতে দিছে"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""পন্য"", ""opinion_term"": ""অরিজিনাল"", ""sentiment"": ""Positive""}]}"
36,5,বক্স ফাটা ছিল কিন্তু সবকিছু ঠিকঠাক ছিল 🥸,32 In 1 Multipurpose Precision Screwdriver Disassemble Electronic Repair Tool,"Tools, DIY & Outdoor",Sadness,Daraz,Negative,7,Positive,Happy,"[{""aspect_category"": ""Condition"", ""aspect_term"": ""বক্স"", ""opinion_term"": ""ফাটা ছিল"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""সবকিছু"", ""opinion_term"": ""ঠিকঠাক ছিল"", ""sentiment"": ""Positive""}]","{
  ""overall_sentiment"": ""Positive"",
  ""overall_emotion"": ""Happy"",
  ""triplets"": [
    {
      ""aspect_category"": ""Condition"",
      ""aspect_term"": ""বক্স"",
      ""opinion_term"": ""ফাটা ছিল"",
      ""sentiment"": ""Negative""
    },
    {
      ""aspect_category"": ""Overall_Quality"",
      ""aspect_term"": ""সবকিছু"",
      ""opinion_term"": ""ঠিকঠাক ছিল"",
      ""sentiment"": ""Positive""
    }
  ]
}",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Condition"", ""aspect_term"": ""বক্স"", ""opinion_term"": ""ফাটা ছিল"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""সবকিছু"", ""opinion_term"": ""ঠিকঠাক ছিল"", ""sentiment"": ""Positive""}]}"
37,4,good quality product except the battery charger.,"সবুজ লেজার পয়েন্টার (লেজার লাইট) 10km অ্যাডজাস্টেবল ফোকাস (পেশাদার), 553 রেটিং 492 উত্তর দেওয়া প্রশ্ন",Gadgets,Sadness,Daraz,Negative,7,Positive,Happy,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:BATTERY"", ""aspect_term"": ""battery charger"", ""opinion_term"": ""not good"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Positive"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good quality"",""sentiment"":""Positive""},{""aspect_category"":""ELECTRONICS_AND_GADGETS:BATTERY"",""aspect_term"":""battery charger"",""opinion_term"":""not good"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:BATTERY"", ""aspect_term"": ""battery charger"", ""opinion_term"": ""not good"", ""sentiment"": ""Negative""}]}"
39,3,ছোট খুব তবে টাকা অনুযায়ী ঠিক আছে।,Mini PVC Monopoly+Ludo+Snake ludo - 3 in 1,Traditional Games,Happy,Daraz,Positive,7,Neutral,Happy,"[{""aspect_category"": ""Size_Dimensions"", ""aspect_term"": ""ছোট"", ""opinion_term"": ""ছোট খুব"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""টাকা অনুযায়ী"", ""opinion_term"": ""টাকা অনুযায়ী ঠিক আছে"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Size_Dimensions"",""aspect_term"":""ছোট"",""opinion_term"":""ছোট খুব"",""sentiment"":""Negative""},{""aspect_category"":""Value_for_Money"",""aspect_term"":""টাকা অনুযায়ী"",""opinion_term"":""টাকা অনুযায়ী ঠিক আছে"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Size_Dimensions"", ""aspect_term"": ""ছোট"", ""opinion_term"": ""ছোট খুব"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""টাকা অনুযায়ী"", ""opinion_term"": ""টাকা অনুযায়ী ঠিক আছে"", ""sentiment"": ""Positive""}]}"
